"Time","Salinity wetlab_sbe45_tsg"
1736623800000,34.7715
1736624700000,34.7764
1736625600000,34.7707
1736626500000,34.7686
1736627400000,34.7648
1736628300000,34.7731
1736629200000,34.7811
1736630100000,34.7798
1736631000000,34.7964
1736631900000,34.7955
1736632800000,34.7842
1736633700000,34.7811
1736634600000,34.7756
1736635500000,34.7641
1736636400000,34.761
1736637300000,34.7558
1736638200000,34.7592
1736639100000,34.7546
1736640000000,34.7533
1736640900000,34.7041
1736641800000,34.6598
1736642700000,34.6627
1736643600000,34.6759
1736644500000,34.68
1736645400000,34.6798
1736646300000,34.668
1736647200000,34.6593
1736648100000,34.6606
1736649000000,34.676
1736649900000,34.7041
1736650800000,34.7012
1736651700000,34.701
1736652600000,34.7202
1736653500000,34.7204
1736654400000,34.7219
1736655300000,34.7347
1736656200000,34.7314
1736657100000,34.749
1736658000000,34.7477
1736658900000,34.7569
1736659800000,34.7607
1736660700000,34.7647
1736661600000,34.7538
1736662500000,34.7528
1736663400000,34.7656
1736664300000,34.7514
1736665200000,34.7558
1736666100000,34.7566
1736667000000,34.7597
1736667900000,34.754
1736668800000,34.7537
1736669700000,34.7542
1736670600000,34.7635
1736671500000,34.756
1736672400000,34.7505
1736673300000,34.7472
1736674200000,34.716
1736675100000,34.7418
1736676000000,34.754
1736676900000,34.7473
1736677800000,34.7457
1736678700000,34.7509
1736679600000,34.7446
1736680500000,34.7253
1736681400000,34.6994
1736682300000,34.7452
1736683200000,34.7362
1736684100000,34.735
1736685000000,34.7352
1736685900000,34.7249
1736686800000,34.7367
1736687700000,34.7372
1736688600000,34.7621
1736689500000,34.7259
1736690400000,34.7135
1736691300000,34.7172
1736692200000,34.7106
1736693100000,34.7201
1736694000000,34.7284
1736694900000,34.7389
1736695800000,34.7332
1736696700000,34.7331
1736697600000,34.7385
1736698500000,34.7349
1736699400000,34.7407
1736700300000,34.7353
1736701200000,34.7353
1736702100000,34.7397
1736703000000,34.7207
1736703900000,34.7018
1736704800000,34.7074
1736705700000,34.714
1736706600000,34.7157
1736707500000,34.7157
1736708400000,34.7144
1736709300000,34.721
1736710200000,34.7153
1736711100000,34.709
1736712000000,34.7252
1736712900000,34.7155
1736713800000,34.718
1736714700000,34.7201
1736715600000,34.7098
1736716500000,34.7016
1736717400000,34.732
1736718300000,34.714
1736719200000,34.709
1736720100000,34.6974
1736721000000,34.7044
1736721900000,34.7009
1736722800000,34.6965
1736723700000,34.6919
1736724600000,34.6899
1736725500000,34.6767
1736726400000,34.6675
1736727300000,34.663
1736728200000,34.6632
1736729100000,34.6313
1736730000000,34.6266
1736730900000,34.6264
1736731800000,34.6173
1736732700000,34.6436
1736733600000,34.6595
1736734500000,34.6671
1736735400000,34.6794
1736736300000,34.6853
1736737200000,34.6919
1736738100000,34.6887
1736739000000,34.696
1736739900000,34.6945
1736740800000,34.691
1736741700000,34.6876
1736742600000,34.6772
1736743500000,34.6665
1736744400000,34.6529
1736745300000,34.6416
1736746200000,34.6307
1736747100000,34.6261
1736748000000,34.6248
1736748900000,34.6737
1736749800000,34.6282
1736750700000,34.6227
1736751600000,34.6197
1736752500000,34.6192
1736753400000,34.6178
1736754300000,34.6172
1736755200000,34.6985
1736756100000,34.6968
1736757000000,34.6956
1736757900000,34.6127
1736758800000,34.7523
1736759700000,34.6091
1736760600000,34.6031
1736761500000,34.5727
1736762400000,34.5784
1736763300000,34.5678
1736764200000,34.5552
1736765100000,34.5517
1736766000000,34.5466
1736766900000,34.5305
1736767800000,34.5316
1736768700000,34.512
1736769600000,34.4903
1736770500000,34.4973
1736771400000,34.5107
1736772300000,34.5219
1736773200000,34.5306
1736774100000,34.5522
1736775000000,34.5431
1736775900000,34.5422
1736776800000,34.5341
1736777700000,34.5284
1736778600000,34.5092
1736779500000,34.4961
1736780400000,34.5093
1736781300000,34.4914
1736782200000,34.4539
1736783100000,34.4552
1736784000000,34.4624
1736784900000,34.4662
1736785800000,34.4679
1736786700000,34.4738
1736787600000,34.4861
1736788500000,34.512
1736789400000,34.4905
1736790300000,34.4615
1736791200000,34.4455
1736792100000,34.4323
1736793000000,34.4358
1736793900000,34.4339
1736794800000,34.4261
1736795700000,34.4275
1736796600000,34.4281
1736797500000,34.4327
1736798400000,34.4293
1736799300000,34.4235
1736800200000,34.4193
1736801100000,34.4114
1736802000000,34.406
1736802900000,34.3982
1736803800000,34.386
1736804700000,34.3742
1736805600000,34.3688
1736806500000,34.3655
1736807400000,34.3639
1736808300000,34.363
1736809200000,34.3615
1736810100000,34.3583
1736811000000,34.38
1736811900000,34.3808
1736812800000,34.3623
1736813700000,34.36
1736814600000,34.3595
1736815500000,34.3672
1736816400000,34.3798
1736817300000,34.3638
1736818200000,34.3462
1736819100000,34.4189
1736820000000,34.4701
1736820900000,34.4742
1736821800000,34.4725
1736822700000,34.4698
1736823600000,34.4772
1736824500000,34.4721
1736825400000,34.4853
1736826300000,34.4885
1736827200000,34.4716
1736828100000,34.4575
1736829000000,34.4804
1736829900000,34.4907
1736830800000,34.5083
1736831700000,34.5039
1736832600000,34.5073
1736833500000,34.506
1736834400000,34.5086
1736835300000,34.5097
1736836200000,34.5067
1736837100000,34.5063
1736838000000,34.5084
1736838900000,34.5101
1736839800000,34.5005
1736840700000,34.4949
1736841600000,34.4889
1736842500000,34.4858
1736843400000,34.4877
1736844300000,34.4835
1736845200000,34.4822
1736846100000,34.4815
1736847000000,34.4863
1736847900000,34.5002
1736848800000,34.5091
1736849700000,34.5122
1736850600000,34.5276
1736851500000,34.5206
1736852400000,34.5159
1736853300000,34.5179
1736854200000,34.525
1736855100000,34.5077
1736856000000,34.5152
1736856900000,34.5196
1736857800000,34.5131
1736858700000,34.5182
1736859600000,34.5552
1736860500000,34.5613
1736861400000,34.5429
1736862300000,34.5438
1736863200000,34.5562
1736864100000,34.5663
1736865000000,34.5913
1736865900000,34.6384
1736866800000,34.6415
1736867700000,34.6536
1736868600000,34.6538
1736869500000,34.6253
1736870400000,34.6191
