,chloro_temp,chloro_saline,chloro_coeff
0,-4.22673375026785,-3.31044301839369,-2.35493157336626
1,-4.22673375026785,-2.97397078177248,-2.35493157336626
2,-4.91988093082779,-3.12812146159974,-3.82126864215968
3,-2.52198565802942,-2.43497428103979,-3.5335865697079
4,-3.31044301839369,-2.97397078177248,-3.31044301839369
5,-2.97397078177248,-2.84043938914796,-3.31044301839369
6,-3.12812146159974,-2.35493157336626,-3.31044301839369
7,-2.43497428103979,-2.35493157336626,-3.5335865697079
8,-2.97397078177248,-3.82126864215968,-3.12812146159974
9,-2.84043938914796,-3.5335865697079,-2.72265635349157
10,-2.35493157336626,-3.31044301839369,-3.12812146159974
11,-2.35493157336626,-3.31044301839369,-2.97397078177248
12,-3.82126864215968,-3.31044301839369,-2.84043938914796
13,-3.5335865697079,-3.5335865697079,-2.84043938914796
14,-3.31044301839369,-3.12812146159974,-3.31044301839369
15,-3.31044301839369,-2.72265635349157,-3.12812146159974
16,-3.31044301839369,-3.12812146159974,-3.12812146159974
17,-3.5335865697079,-2.97397078177248,-2.61729583783375
18,-3.12812146159974,-2.84043938914796,-2.28082360121253
19,-2.72265635349157,-2.84043938914796,-2.21183072972558
20,-3.12812146159974,-3.31044301839369,-2.35493157336626
21,-2.97397078177248,-3.12812146159974,-2.28082360121253
22,-2.84043938914796,-3.12812146159974,-1.9241486572738
23,-2.84043938914796,-2.61729583783375,-1.74182710047985
24,-3.31044301839369,-2.28082360121253,-1.58767642065259
25,-3.12812146159974,-2.21183072972558,-1.74182710047985
26,-3.12812146159974,-2.35493157336626,-1.74182710047985
27,-2.61729583783375,-2.28082360121253,-1.74182710047985
28,-2.28082360121253,-1.9241486572738,-1.82883847746948
29,-2.21183072972558,-1.74182710047985,-1.78438671489864
30,-2.35493157336626,-1.58767642065259,-1.87535849310437
31,-2.28082360121253,-1.74182710047985,-1.82883847746948
32,-1.9241486572738,-1.74182710047985,-1.87535849310437
33,-1.74182710047985,-1.74182710047985,-1.97544195166135
34,-1.58767642065259,-1.82883847746948,-1.78438671489864
35,-1.74182710047985,-1.78438671489864,-2.43497428103979
36,-1.74182710047985,-1.87535849310437,-2.21183072972558
37,-1.74182710047985,-1.82883847746948,-2.97397078177248
38,-1.82883847746948,-1.87535849310437,-2.61729583783375
39,-1.78438671489864,-1.97544195166135,-2.61729583783375
40,-1.87535849310437,-1.78438671489864,-2.72265635349157
41,-1.82883847746948,-2.43497428103979,-2.84043938914796
42,-1.87535849310437,-2.21183072972558,-2.61729583783375
43,-1.97544195166135,-2.97397078177248,-2.21183072972558
44,-1.78438671489864,-2.61729583783375,-2.35493157336626
45,-2.43497428103979,-2.61729583783375,-1.78438671489864
46,-2.21183072972558,-2.72265635349157,-1.70100510595959
47,-2.97397078177248,-2.84043938914796,-2.21183072972558
48,-2.61729583783375,-2.61729583783375,-1.70100510595959
49,-2.61729583783375,-2.21183072972558,-1.51868354916564
50,-2.72265635349157,-2.35493157336626,-1.97544195166135
51,-2.84043938914796,-1.78438671489864,-1.87535849310437
52,-2.61729583783375,-1.70100510595959,-1.74182710047985
53,-2.21183072972558,-2.21183072972558,-1.66178439280631
54,-2.35493157336626,-1.70100510595959,-1.55258510084132
55,-1.78438671489864,-1.51868354916564,-1.51868354916564
56,-1.70100510595959,-1.97544195166135,-1.55258510084132
57,-2.21183072972558,-1.87535849310437,-1.45414502802807
58,-1.70100510595959,-1.74182710047985,-1.55258510084132
59,-1.51868354916564,-1.66178439280631,-1.45414502802807
60,-1.97544195166135,-1.55258510084132,-1.39352040621163
61,-1.87535849310437,-1.51868354916564,-1.45414502802807
62,-1.74182710047985,-1.55258510084132,-1.28229477110141
63,-1.66178439280631,-1.45414502802807,-1.28229477110141
64,-1.55258510084132,-1.55258510084132,-1.48589372634265
65,-1.51868354916564,-1.45414502802807,-1.51868354916564
66,-1.55258510084132,-1.39352040621163,-1.45414502802807
67,-1.45414502802807,-1.45414502802807,-1.51868354916564
68,-1.55258510084132,-1.28229477110141,-1.13569129690953
69,-1.45414502802807,-1.28229477110141,-1.06973332911773
70,-1.39352040621163,-1.48589372634265,-1.28229477110141
71,-1.45414502802807,-1.51868354916564,-0.715188311436826
