"Time","MwxStbdRelativeHumidity stbd_mast_vaisala"
2025-01-10 21:10:00,77%
2025-01-10 21:12:00,78%
2025-01-10 21:14:00,77%
2025-01-10 21:16:00,77%
2025-01-10 21:18:00,77%
2025-01-10 21:20:00,76%
2025-01-10 21:22:00,76%
2025-01-10 21:24:00,77%
2025-01-10 21:26:00,77%
2025-01-10 21:28:00,77%
2025-01-10 21:30:00,77%
2025-01-10 21:32:00,78%
2025-01-10 21:34:00,77%
2025-01-10 21:36:00,77%
2025-01-10 21:38:00,78%
2025-01-10 21:40:00,78%
2025-01-10 21:42:00,76%
2025-01-10 21:44:00,78%
2025-01-10 21:46:00,79%
2025-01-10 21:48:00,77%
2025-01-10 21:50:00,76%
2025-01-10 21:52:00,77%
2025-01-10 21:54:00,78%
2025-01-10 21:56:00,78%
2025-01-10 21:58:00,77%
2025-01-10 22:00:00,79%
2025-01-10 22:02:00,77%
2025-01-10 22:04:00,77%
2025-01-10 22:06:00,78%
2025-01-10 22:08:00,78%
2025-01-10 22:10:00,77%
2025-01-10 22:12:00,78%
2025-01-10 22:14:00,78%
2025-01-10 22:16:00,77%
2025-01-10 22:18:00,78%
2025-01-10 22:20:00,78%
2025-01-10 22:22:00,79%
2025-01-10 22:24:00,78%
2025-01-10 22:26:00,76%
2025-01-10 22:28:00,77%
2025-01-10 22:30:00,78%
2025-01-10 22:32:00,78%
2025-01-10 22:34:00,78%
2025-01-10 22:36:00,79%
2025-01-10 22:38:00,79%
2025-01-10 22:40:00,78%
2025-01-10 22:42:00,80%
2025-01-10 22:44:00,80%
2025-01-10 22:46:00,80%
2025-01-10 22:48:00,77%
2025-01-10 22:50:00,76%
2025-01-10 22:52:00,75%
2025-01-10 22:54:00,77%
2025-01-10 22:56:00,76%
2025-01-10 22:58:00,78%
2025-01-10 23:00:00,77%
2025-01-10 23:02:00,76%
2025-01-10 23:04:00,77%
2025-01-10 23:06:00,77%
2025-01-10 23:08:00,78%
2025-01-10 23:10:00,79%
2025-01-10 23:12:00,78%
2025-01-10 23:14:00,78%
2025-01-10 23:16:00,76%
2025-01-10 23:18:00,76%
2025-01-10 23:20:00,78%
2025-01-10 23:22:00,80%
2025-01-10 23:24:00,78%
2025-01-10 23:26:00,79%
2025-01-10 23:28:00,78%
2025-01-10 23:30:00,78%
2025-01-10 23:32:00,78%
2025-01-10 23:34:00,79%
2025-01-10 23:36:00,80%
2025-01-10 23:38:00,79%
2025-01-10 23:40:00,80%
2025-01-10 23:42:00,80%
2025-01-10 23:44:00,80%
2025-01-10 23:46:00,80%
2025-01-10 23:48:00,80%
2025-01-10 23:50:00,79%
2025-01-10 23:52:00,79%
2025-01-10 23:54:00,81%
2025-01-10 23:56:00,81%
2025-01-10 23:58:00,78%
2025-01-11 00:00:00,79%
2025-01-11 00:02:00,78%
2025-01-11 00:04:00,79%
2025-01-11 00:06:00,79%
2025-01-11 00:08:00,78%
2025-01-11 00:10:00,78%
2025-01-11 00:12:00,79%
2025-01-11 00:14:00,79%
2025-01-11 00:16:00,78%
2025-01-11 00:18:00,81%
2025-01-11 00:20:00,79%
2025-01-11 00:22:00,79%
2025-01-11 00:24:00,79%
2025-01-11 00:26:00,80%
2025-01-11 00:28:00,79%
2025-01-11 00:30:00,79%
2025-01-11 00:32:00,79%
2025-01-11 00:34:00,78%
2025-01-11 00:36:00,80%
2025-01-11 00:38:00,80%
2025-01-11 00:40:00,79%
2025-01-11 00:42:00,80%
2025-01-11 00:44:00,80%
2025-01-11 00:46:00,80%
2025-01-11 00:48:00,80%
2025-01-11 00:50:00,80%
2025-01-11 00:52:00,80%
2025-01-11 00:54:00,81%
2025-01-11 00:56:00,79%
2025-01-11 00:58:00,80%
2025-01-11 01:00:00,79%
2025-01-11 01:02:00,79%
2025-01-11 01:04:00,78%
2025-01-11 01:06:00,81%
2025-01-11 01:08:00,78%
2025-01-11 01:10:00,79%
2025-01-11 01:12:00,80%
2025-01-11 01:14:00,80%
